operacao,custo,total,media
842,2,413738,491.37529691211404
843,2,413740,490.7947805456702
844,2,413742,490.2156398104265
845,2,413744,489.6378698224852
846,2,413746,489.0614657210402
847,2,413748,488.48642266824083
848,2,413750,487.9127358490566
849,2,413752,487.3404004711425
850,2,413754,486.76941176470586
851,2,413756,486.19976498237367
852,2,413758,485.63145539906105
853,2,413760,485.06447831184056
854,2,413762,484.4988290398126
855,630,414392,484.6690058479532
856,2,414394,484.1051401869159
857,2,414396,483.54259043173863
858,2,414398,482.98135198135196
859,2,414400,482.42142025611173
860,2,414402,481.8627906976744
861,2,414404,481.3054587688734
862,2,414406,480.74941995359626
863,2,414408,480.1946697566628
864,2,414410,479.6412037037037
865,2,414412,479.08901734104046
866,2,414414,478.5381062355658
867,2,414416,477.98846597462517
868,2,414418,477.4400921658986
869,2,414420,476.8929804372842
870,2,414422,476.3471264367816
871,2,414424,475.8025258323766
872,2,414426,475.2591743119266
873,2,414428,474.71706758304697
874,2,414430,474.1762013729977
875,2,414432,473.6365714285714
876,2,414434,473.0981735159817
877,2,414436,472.56100342075257
878,631,415067,472.74145785876993
879,2,415069,472.2059158134243
880,2,415071,471.6715909090909
881,2,415073,471.13847900113507
882,2,415075,470.6065759637188
883,2,415077,470.0758776896942
884,2,415079,469.54638009049773
885,2,415081,469.0180790960452
886,2,415083,468.4909706546275
887,2,415085,467.96505073280724
888,2,415087,467.44031531531533
889,2,415089,466.9167604049494
890,2,415091,466.3943820224719
891,2,415093,465.8731762065095
892,2,415095,465.3531390134529
893,2,415097,464.8342665173572
894,2,415099,464.3165548098434
895,2,415101,463.8
896,2,415103,463.2845982142857
897,2,415105,462.77034559643255
898,2,415107,462.25723830734967
899,2,415109,461.7452725250278
900,2,415111,461.2344444444444
